air_Pressure_mH2o,air_Temp_float,airtime,batt,dev_id,dist,rssi,snr,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
-1,0,1.97E+09,3.5,fipy_e1,28.80476952,-18,13.2,10.14328289,20.1916523,
-1,0,1.97E+09,3.5,fipy_e1,29.97208023,-19,12,10.14752293,20.24345398,
-1,0,1.97E+09,3.5,fipy_e1,27.94161034,-19,14,10.15424919,20.15110016,
-1,0,1.97E+09,3.5,fipy_e1,25.82092857,-19,10.2,10.15872765,20.06763458,
-1,0,1.97E+09,3.5,fipy_e1,29.78260803,-18,11.5,10.16314602,20.11242104,
-1,0,1.97E+09,3.5,fipy_e1,28.74975204,-18,13.5,10.16759777,20.14922523,
-1,0,1.97E+09,3.5,fipy_e1,26.9868412,-18,14.2,10.17187119,20.12381172,
-1,0,1.97E+09,3.5,fipy_e1,29.98404503,-17,12.5,10.17674351,20.12075615,
-1,0,1.97E+09,3.5,fipy_e1,28.57393265,-17,10.8,10.18067741,20.17797279,
-1,0,1.97E+09,3.5,fipy_e1,28.15731812,-19,12.2,10.18464088,20.16012764,
-1,0,1.97E+09,3.49,fipy_e1,27.77306747,-17,12.8,10.18891621,20.10936737,
-1,0,1.97E+09,3.5,fipy_e1,28.26640701,-18,13.5,10.1921072,20.04909515,
-1,0,1.97E+09,3.49,fipy_e1,29.28556824,-17,10.2,10.1956892,20.06284332,
-1,0,1.97E+09,3.49,fipy_e1,31.96406174,-19,14.5,10.19900703,20.01055336,
-1,0,1.97E+09,3.49,fipy_e1,28.78490829,-19,13.5,10.2025423,19.92408562,
-1,0,1.97E+09,3.49,fipy_e1,29.78166199,-21,12.8,10.20679951,19.91741753,
-1,0,1.97E+09,3.49,fipy_e1,30.03873253,-16,11,10.20792007,19.84904099,
-1,0,1.97E+09,3.49,fipy_e1,29.87882423,-17,11.5,10.20945072,19.84292603,
-1,0,1.97E+09,3.49,fipy_e1,29.73815918,-19,12.5,10.20924187,19.83173561,
-1,0,1.97E+09,3.49,fipy_e1,28.84193993,-18,10.8,10.20854759,19.76311874,
-1,0,1.97E+09,3.49,fipy_e1,28.59925842,-19,13.5,10.2129612,19.77730179,
-1,0,1.97E+09,3.48,fipy_e1,29.98063278,-17,9.5,10.21492195,19.76277161,
-1,0,1.97E+09,3.48,fipy_e1,29.24555969,-21,13.2,10.21599197,19.7170105,
-1,0,1.97E+09,3.48,fipy_e1,27.21866798,-19,12.8,10.21702766,19.75094986,
-1,0,1.97E+09,3.48,fipy_e1,27.95534706,-19,9.5,10.21650219,19.72925186,
-1,0,1.97E+09,3.48,fipy_e1,29.01052475,-19,10.5,10.21761322,19.67499542,
-1,0,1.97E+09,3.48,fipy_e1,27.16426659,-18,12.8,10.21594715,19.70226479,
-1,0,1.97E+09,3.47,fipy_e1,28.9399662,-19,13.8,10.21656322,19.69127464,
-1,0,1.97E+09,3.48,fipy_e1,28.45144081,-19,10.5,10.2186985,19.63178635,
-1,0,1.97E+09,3.48,fipy_e1,29.66225243,-19,13,10.21888351,19.65711594,
-1,0,1.97E+09,3.47,fipy_e1,28.27088928,-17,11,10.21980572,19.6552372,
-1,0,1.97E+09,3.47,fipy_e1,28.4753685,-17,11,10.21874046,19.68230057,
-1,0,1.97E+09,3.09,fipy_e1,30.76554298,-21,13.2,-1,0,
-1,0,1.97E+09,3.09,fipy_e1,28.26916122,-17,9.5,10.21493053,19.68487358,
-1,0,1.97E+09,3.07,fipy_e1,29.19662857,-19,12.8,-10,0,
-1,0,1.97E+09,3.06,fipy_e1,28.03412819,-21,12.8,10.21615505,19.71986389,
-1,0,1.97E+09,3.06,fipy_e1,28.1252861,-17,11.2,-1,0,
-1,0,1.97E+09,3.07,fipy_e1,26.74325562,-18,14,-5,0,
-1,0,1.97E+09,3.06,fipy_e1,29.64288712,-19,13.2,10.21468449,19.90157509,
-1,0,1.97E+09,3.06,fipy_e1,29.50362015,-18,10,-1,0,
-1,0,1.97E+09,3.06,fipy_e1,29.14913559,-18,11,10.21153164,19.84487152,
-1,0,1.97E+09,3.06,fipy_e1,27.15670204,-18,9.5,10.21090508,19.82409096,
-1,0,1.97E+09,3.07,fipy_e1,28.85012245,-18,9,10.21064377,19.85918999,
-1,0,1.97E+09,3.07,fipy_e1,27.79819107,-18,14,10.21034145,19.78397751,
-1,0,1.97E+09,3.13,fipy_e1,26.35337257,-19,13.8,10.21188927,19.74364662,
-1,0,1.97E+09,3.13,fipy_e1,29.53375816,-18,10.5,10.21013737,19.75206184,
-1,0,1.97E+09,3.46,fipy_e1,28.53186607,-19,12.8,10.21300411,19.74670792,
-1,0,1.97E+09,3.45,fipy_e1,29.40370178,-21,12.5,10.21170235,19.72716522,
-1,0,1.97E+09,3.45,fipy_e1,28.29403687,-18,12.2,10.21104527,19.76311874,
-1,0,1.97E+09,3.45,fipy_e1,28.30263138,-18,12.8,10.20746231,19.72542572,
-1,0,1.97E+09,3.45,fipy_e1,30.02310753,-17,11.2,10.20697498,19.64779091,
-1,0,1.97E+09,3.45,fipy_e1,26.79597092,-18,10.5,10.20634365,19.68647385,
-1,0,1.97E+09,3.45,fipy_e1,29.4296875,-17,13.8,10.20362091,19.6654644,
-1,0,1.97E+09,3.45,fipy_e1,30.06389809,-18,12.5,10.2026329,19.62656784,
-1,0,1.97E+09,3.45,fipy_e1,29.96332169,-17,11,10.20321274,19.70699501,
-1,0,1.97E+09,3.45,fipy_e1,28.44592857,-18,11,10.19925404,19.73724937,
-1,0,1.97E+09,3.45,fipy_e1,27.99263954,-18,12.2,10.19867992,19.69503212,
-1,0,1.97E+09,3.45,fipy_e1,29.5663662,-19,12,10.19577122,19.67861366,
-1,0,1.97E+09,3.45,fipy_e1,28.49432755,-19,13.8,10.19515228,19.67965698,
-1,0,1.97E+09,3.45,fipy_e1,31.65341187,-19,13,-1,0,
-1,0,1.97E+09,3.45,fipy_e1,28.54218674,-19,13.2,10.19639492,19.61362267,
-1,0,1.97E+09,3.44,fipy_e1,28.61587143,-17,10,-10,0,
-1,0,1.97E+09,3.44,fipy_e1,28.38071632,-21,13,10.20602036,19.597826,
-1,0,1.97E+09,3.45,fipy_e1,29.57216263,-17,8.8,10.21030712,19.60033035,
-1,0,1.97E+09,3.44,fipy_e1,31.86883163,-19,13,-1,0,
-1,0,1.97E+09,3.44,fipy_e1,28.53766441,-19,11,10.21458626,19.59365082,
-1,0,1.97E+09,3.44,fipy_e1,28.57204056,-18,10.8,-1,0,
-1,0,1.97E+09,3.44,fipy_e1,30.59963036,-21,12.2,10.21997452,19.5415802,
-1,0,1.97E+09,3.44,fipy_e1,27.19379044,-17,11.8,10.22151756,19.58091164,
-1,0,1.97E+09,3.44,fipy_e1,28.12368393,-18,13,10.22400093,19.59030914,
-1,0,1.97E+09,3.44,fipy_e1,27.72286034,-17,9.2,10.22750473,19.54610443,
-1,0,1.97E+09,3.44,fipy_e1,29.58379745,-19,11.8,10.23180485,19.60332489,
-1,0,1.97E+09,3.44,fipy_e1,31.35530472,-16,13,10.23457432,19.60798645,
-1,0,1.97E+09,3.44,fipy_e1,28.68548584,-17,10.2,10.23740864,19.55118561,
-1,0,1.97E+09,3.44,fipy_e1,29.32146263,-17,9.5,10.24114513,19.5868988,
-1,0,1.97E+09,3.44,fipy_e1,28.95966148,-18,11,10.24672127,19.60081863,
-1,0,1.97E+09,3.44,fipy_e1,28.28861046,-19,11.8,10.2517004,19.57255745,
-1,0,1.97E+09,3.42,fipy_e1,29.32294273,-18,10.8,10.25566196,19.90518951,
-1,0,1.97E+09,3.07,fipy_e1,29.98067284,-19,12.8,10.25410175,19.96603966,
-1,0,1.97E+09,3.07,fipy_e1,28.53803444,-19,13.2,10.25735378,19.93492317,
-1,0,1.97E+09,3.04,fipy_e1,29.62384987,-19,10.5,10.26015663,19.87260056,
-1,0,1.97E+09,3.04,fipy_e1,29.40028763,-18,12.8,10.26429081,19.86182976,
-1,0,1.97E+09,3.03,fipy_e1,28.29703903,-19,14,-1,0,
-1,0,1.97E+09,3.03,fipy_e1,31.05386734,-18,12.5,10.26833916,19.88969421,
-1,0,1.97E+09,3.02,fipy_e1,39.43009949,-17,10,10.27098942,21.95444107,
